,date,year,month,hour,bikes_used,bike_used,year_month
192,2020-05-09T00:00:00,2020,5,00,0,49.0,2020-5
193,2020-05-09T01:00:00,2020,5,01,0,31.0,2020-5
194,2020-05-09T02:00:00,2020,5,02,0,31.0,2020-5
195,2020-05-09T03:00:00,2020,5,03,0,28.0,2020-5
196,2020-05-09T04:00:00,2020,5,04,0,30.0,2020-5
197,2020-05-09T05:00:00,2020,5,05,0,39.0,2020-5
198,2020-05-09T06:00:00,2020,5,06,0,52.0,2020-5
199,2020-05-09T07:00:00,2020,5,07,0,70.0,2020-5
200,2020-05-09T08:00:00,2020,5,08,0,109.0,2020-5
201,2020-05-09T09:00:00,2020,5,09,0,116.0,2020-5
202,2020-05-09T10:00:00,2020,5,10,0,192.0,2020-5
203,2020-05-09T11:00:00,2020,5,11,0,225.0,2020-5
204,2020-05-09T12:00:00,2020,5,12,0,313.0,2020-5
205,2020-05-09T13:00:00,2020,5,13,0,307.0,2020-5
206,2020-05-09T14:00:00,2020,5,14,0,378.0,2020-5
207,2020-05-09T15:00:00,2020,5,15,0,385.0,2020-5
208,2020-05-09T16:00:00,2020,5,16,0,301.0,2020-5
209,2020-05-09T17:00:00,2020,5,17,0,316.0,2020-5
210,2020-05-09T18:00:00,2020,5,18,0,258.0,2020-5
211,2020-05-09T19:00:00,2020,5,19,0,210.0,2020-5
212,2020-05-09T20:00:00,2020,5,20,0,112.0,2020-5
213,2020-05-09T21:00:00,2020,5,21,0,78.0,2020-5
214,2020-05-09T22:00:00,2020,5,22,0,68.0,2020-5
215,2020-05-09T23:00:00,2020,5,23,0,53.0,2020-5
216,2020-05-10T00:00:00,2020,5,00,0,43.0,2020-5
217,2020-05-10T01:00:00,2020,5,01,0,34.0,2020-5
218,2020-05-10T02:00:00,2020,5,02,0,33.0,2020-5
219,2020-05-10T03:00:00,2020,5,03,0,31.0,2020-5
220,2020-05-10T04:00:00,2020,5,04,0,34.0,2020-5
221,2020-05-10T05:00:00,2020,5,05,0,35.0,2020-5
222,2020-05-10T06:00:00,2020,5,06,0,52.0,2020-5
223,2020-05-10T07:00:00,2020,5,07,0,76.0,2020-5
224,2020-05-10T08:00:00,2020,5,08,0,113.0,2020-5
225,2020-05-10T09:00:00,2020,5,09,0,169.0,2020-5
226,2020-05-10T10:00:00,2020,5,10,0,236.0,2020-5
227,2020-05-10T11:00:00,2020,5,11,0,384.0,2020-5
228,2020-05-10T12:00:00,2020,5,12,0,582.0,2020-5
229,2020-05-10T13:00:00,2020,5,13,0,724.0,2020-5
230,2020-05-10T14:00:00,2020,5,14,0,913.0,2020-5
231,2020-05-10T15:00:00,2020,5,15,0,880.0,2020-5
232,2020-05-10T16:00:00,2020,5,16,0,812.0,2020-5
233,2020-05-10T17:00:00,2020,5,17,0,713.0,2020-5
234,2020-05-10T18:00:00,2020,5,18,0,546.0,2020-5
235,2020-05-10T19:00:00,2020,5,19,0,340.0,2020-5
236,2020-05-10T20:00:00,2020,5,20,0,209.0,2020-5
237,2020-05-10T21:00:00,2020,5,21,0,129.0,2020-5
238,2020-05-10T22:00:00,2020,5,22,0,88.0,2020-5
239,2020-05-10T23:00:00,2020,5,23,0,76.0,2020-5
240,2020-05-11T00:00:00,2020,5,00,0,52.0,2020-5
241,2020-05-11T01:00:00,2020,5,01,0,51.0,2020-5
242,2020-05-11T02:00:00,2020,5,02,0,49.0,2020-5
243,2020-05-11T03:00:00,2020,5,03,0,49.0,2020-5
244,2020-05-11T04:00:00,2020,5,04,0,45.0,2020-5
245,2020-05-11T05:00:00,2020,5,05,0,54.0,2020-5
246,2020-05-11T06:00:00,2020,5,06,0,77.0,2020-5
247,2020-05-11T07:00:00,2020,5,07,0,128.0,2020-5
248,2020-05-11T08:00:00,2020,5,08,0,157.0,2020-5
249,2020-05-11T09:00:00,2020,5,09,0,150.0,2020-5
250,2020-05-11T10:00:00,2020,5,10,0,137.0,2020-5
251,2020-05-11T11:00:00,2020,5,11,0,150.0,2020-5
252,2020-05-11T12:00:00,2020,5,12,0,206.0,2020-5
253,2020-05-11T13:00:00,2020,5,13,0,189.0,2020-5
254,2020-05-11T14:00:00,2020,5,14,0,184.0,2020-5
255,2020-05-11T15:00:00,2020,5,15,0,223.0,2020-5
256,2020-05-11T16:00:00,2020,5,16,0,267.0,2020-5
257,2020-05-11T17:00:00,2020,5,17,0,310.0,2020-5
258,2020-05-11T18:00:00,2020,5,18,0,325.0,2020-5
259,2020-05-11T19:00:00,2020,5,19,0,205.0,2020-5
260,2020-05-11T20:00:00,2020,5,20,0,92.0,2020-5
261,2020-05-11T21:00:00,2020,5,21,0,67.0,2020-5
262,2020-05-11T22:00:00,2020,5,22,0,65.0,2020-5
263,2020-05-11T23:00:00,2020,5,23,0,51.0,2020-5
264,2020-05-12T00:00:00,2020,5,00,0,35.0,2020-5
265,2020-05-12T01:00:00,2020,5,01,0,36.0,2020-5
266,2020-05-12T02:00:00,2020,5,02,0,33.0,2020-5
267,2020-05-12T03:00:00,2020,5,03,0,35.0,2020-5
268,2020-05-12T04:00:00,2020,5,04,0,35.0,2020-5
269,2020-05-12T05:00:00,2020,5,05,0,54.0,2020-5
270,2020-05-12T06:00:00,2020,5,06,0,85.0,2020-5
271,2020-05-12T07:00:00,2020,5,07,0,131.0,2020-5
272,2020-05-12T08:00:00,2020,5,08,0,141.0,2020-5
273,2020-05-12T09:00:00,2020,5,09,0,124.0,2020-5
274,2020-05-12T10:00:00,2020,5,10,0,126.0,2020-5
275,2020-05-12T11:00:00,2020,5,11,0,153.0,2020-5
276,2020-05-12T12:00:00,2020,5,12,0,206.0,2020-5
277,2020-05-12T13:00:00,2020,5,13,0,219.0,2020-5
278,2020-05-12T14:00:00,2020,5,14,0,258.0,2020-5
279,2020-05-12T15:00:00,2020,5,15,0,265.0,2020-5
280,2020-05-12T16:00:00,2020,5,16,0,328.0,2020-5
281,2020-05-12T17:00:00,2020,5,17,0,437.0,2020-5
282,2020-05-12T18:00:00,2020,5,18,0,427.0,2020-5
283,2020-05-12T19:00:00,2020,5,19,0,347.0,2020-5
284,2020-05-12T20:00:00,2020,5,20,0,209.0,2020-5
285,2020-05-12T21:00:00,2020,5,21,0,93.0,2020-5
286,2020-05-12T22:00:00,2020,5,22,0,62.0,2020-5
287,2020-05-12T23:00:00,2020,5,23,0,66.0,2020-5
288,2020-05-13T00:00:00,2020,5,00,0,44.0,2020-5
289,2020-05-13T01:00:00,2020,5,01,0,39.0,2020-5
290,2020-05-13T02:00:00,2020,5,02,0,35.0,2020-5
291,2020-05-13T03:00:00,2020,5,03,0,41.0,2020-5
292,2020-05-13T04:00:00,2020,5,04,0,42.0,2020-5
293,2020-05-13T05:00:00,2020,5,05,0,60.0,2020-5
294,2020-05-13T06:00:00,2020,5,06,0,83.0,2020-5
295,2020-05-13T07:00:00,2020,5,07,0,106.0,2020-5
296,2020-05-13T08:00:00,2020,5,08,0,168.0,2020-5
297,2020-05-13T09:00:00,2020,5,09,0,160.0,2020-5
298,2020-05-13T10:00:00,2020,5,10,0,154.0,2020-5
299,2020-05-13T11:00:00,2020,5,11,0,197.0,2020-5
300,2020-05-13T12:00:00,2020,5,12,0,256.0,2020-5
301,2020-05-13T13:00:00,2020,5,13,0,287.0,2020-5
302,2020-05-13T14:00:00,2020,5,14,0,362.0,2020-5
303,2020-05-13T15:00:00,2020,5,15,0,396.0,2020-5
304,2020-05-13T16:00:00,2020,5,16,0,481.0,2020-5
305,2020-05-13T17:00:00,2020,5,17,0,663.0,2020-5
306,2020-05-13T18:00:00,2020,5,18,0,671.0,2020-5
307,2020-05-13T19:00:00,2020,5,19,0,494.0,2020-5
308,2020-05-13T20:00:00,2020,5,20,0,273.0,2020-5
309,2020-05-13T21:00:00,2020,5,21,0,137.0,2020-5
310,2020-05-13T22:00:00,2020,5,22,0,96.0,2020-5
311,2020-05-13T23:00:00,2020,5,23,0,79.0,2020-5
312,2020-05-14T00:00:00,2020,5,00,0,60.0,2020-5
313,2020-05-14T01:00:00,2020,5,01,0,54.0,2020-5
314,2020-05-14T02:00:00,2020,5,02,0,51.0,2020-5
315,2020-05-14T03:00:00,2020,5,03,0,47.0,2020-5
316,2020-05-14T04:00:00,2020,5,04,0,50.0,2020-5
317,2020-05-14T05:00:00,2020,5,05,0,72.0,2020-5
318,2020-05-14T06:00:00,2020,5,06,0,108.0,2020-5
319,2020-05-14T07:00:00,2020,5,07,0,139.0,2020-5
